tconst	primaryTitle	startYear	genres	rating	votes
tt0104070	Death Becomes Her	1992	Comedy,Fantasy,Horror	6.7	141331
tt0070334	The Long Goodbye	1973	Comedy,Crime,Drama	7.5	40287
tt0114323	Safe	1995	Drama	7.1	18347
tt0271400	Black Swan	2002	Comedy,Drama	3.3	116
tt0101985	A Brighter Summer Day	1991	Crime,Drama,Romance	8.2	13908
tt0128853	You've Got Mail	1998	Comedy,Drama,Romance	6.7	237342
tt0123948	Cure	1997	Crime,Horror,Mystery	7.5	29768
tt0112933	The Butterfly Effect	1995	Comedy,Romance	5.6	459
tt0365675	The Red Baron	2008	Action,Adventure,Biography	6.3	13408
tt0106519	Carlito's Way	1993	Crime,Drama,Thriller	7.9	239541
tt0292346	The Waking	2001	Horror	2.1	225
tt0082010	An American Werewolf in London	1981	Comedy,Horror	7.5	128109
tt0070917	The Wicker Man	1973	Horror,Mystery,Thriller	7.5	99347
tt0071941	Once	1973	Fantasy	6.5	32
tt1187043	3 Idiots	2009	Comedy,Drama	8.4	456645
tt0247586	Nine Queens	2000	Crime,Drama,Thriller	7.9	59465
tt0101410	Barton Fink	1991	Comedy,Drama,Thriller	7.6	132188
tt12477480	Decision to Leave	2022	Crime,Drama,Mystery	7.3	61602
tt0110598	Muriel's Wedding	1994	Comedy,Drama	7.2	43657
tt0120669	Fear and Loathing in Las Vegas	1998	Adventure,Comedy,Drama	7.5	309603
tt0297305	Wave	2001	Drama	6.2	26
tt0081283	Ordinary People	1980	Drama	7.7	59121
tt0928191	Lion	2006	Action,Comedy,Drama	6.8	641
tt0301357	Good Bye Lenin!	2003	Comedy,Drama,Romance	7.7	156149
tt0179116	But I'm a Cheerleader	1999	Comedy,Drama,Romance	6.8	46359
tt0887912	The Hurt Locker	2008	Drama,Thriller,War	7.5	483845
tt0099850	Internal Affairs	1990	Crime,Drama,Thriller	6.5	23832
tt0393162	Coach Carter	2005	Biography,Drama,Sport	7.3	179729
tt0087277	Footloose	1984	Drama,Music,Romance	6.6	97737
tt0209933	Beau Travail	1999	Drama,War	7.3	16584
tt0084616	Running on Empty	1982	Action,Drama,Sport	5.7	529
tt1235841	Sidewalls	2011	Comedy,Drama	7.5	16728
tt0185937	The Blair Witch Project	1999	Horror,Mystery	6.5	301064
tt0089276	The Official Story	1985	Drama,History	7.7	11306
tt0083944	First Blood	1982	Action,Adventure,Thriller	7.7	288458
tt0131204	21 Hump Street	1988	Adult	6.1	146
tt0102057	Hook	1991	Adventure,Comedy,Family	6.8	281820
tt0082949	The Professional	1981	Action,Crime,Drama	7.4	18248
tt0093870	RoboCop	1987	Action,Crime,Sci-Fi	7.6	295510
tt0172493	Girl, Interrupted	1999	Biography,Drama	7.3	223421
